"id","school_id","school_name","province","level","type","founding_year","school_age","total_students","avg_gpa","avg_attendance","avg_test_math","avg_test_literature","avg_composite_score","top_performer_count","report_date","created_at","updated_at"
1,"1","Trường Liên cấp XYZ 1","Bình Dương","Phổ thông Liên cấp","Công lập",2004,21,9,"7.26","89.97","7.39","7.72","7.87",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
2,"2","Trường Tiểu học Phạm 2","Hải Phòng","Tiểu học","Quốc tế",1971,54,10,"7.31","90.52","7.60","7.65","7.93",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3,"3","Trường Liên cấp XYZ 3","Bình Dương","Phổ thông Liên cấp","Dân lập",1997,28,15,"7.45","89.76","7.22","7.35","7.86",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
4,"4","Trường THCS Vũ 4","TP. Hồ Chí Minh","THCS","Công lập",1995,30,9,"7.65","91.01","7.62","7.62","8.07",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
5,"5","Trường THPT Trần 5","TP. Hồ Chí Minh","THPT","Quốc tế",1997,28,8,"7.42","89.28","7.64","8.34","8.04",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
6,"6","Trường Tiểu học Bùi 6","Bình Dương","Tiểu học","Công lập",1982,43,9,"7.20","85.90","7.26","7.51","7.67",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
7,"7","Trường THCS Lê 7","Nghệ An","THCS","Quốc tế",2004,21,11,"7.21","90.01","7.37","6.97","7.74",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
8,"8","Trường THCS Vũ 8","TP. Hồ Chí Minh","THCS","Dân lập",1990,35,8,"6.84","90.66","7.53","7.37","7.69",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
9,"9","Trường THCS Dương 9","Nghệ An","THCS","Quốc tế",1993,32,10,"7.38","93.95","7.12","7.83","8.01",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
10,"10","Trường THPT Dương 10","Đà Nẵng","THPT","Quốc tế",1966,59,17,"7.33","89.37","6.85","7.66","7.79",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
11,"11","Trường Liên cấp XYZ 11","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1998,27,9,"7.38","91.43","7.49","8.09","8.03",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
12,"12","Trường THCS Bùi 12","Cần Thơ","THCS","Quốc tế",1975,50,11,"7.68","90.35","7.59","6.49","7.90",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
13,"13","Trường Liên cấp XYZ 13","Bình Dương","Phổ thông Liên cấp","Dân lập",2001,24,5,"8.19","89.94","5.62","7.71","7.97",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
14,"14","Trường Tiểu học Phạm 14","Hà Nội","Tiểu học","Công lập",1960,65,15,"7.80","87.57","7.13","7.97","8.01",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
